quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,year,quarter
1202202210320100,"POLYGON((0.90087890625 45.8900081586618, 0.9063720703125 45.8900081586618, 0.9063720703125 45.8861845760226, 0.90087890625 45.8861845760226, 0.90087890625 45.8900081586618))",23476,5609,24,3,2,2020,2
3003030323331301,"POLYGON((30.2178955078125 -29.4778611958168, 30.223388671875 -29.4778611958168, 30.223388671875 -29.4826431344666, 30.2178955078125 -29.4826431344666, 30.2178955078125 -29.4778611958168))",23494,9627,42,5,3,2020,2
1322021131111023,"POLYGON((95.5865478515625 15.9454842884045, 95.592041015625 15.9454842884045, 95.592041015625 15.940202412387, 95.5865478515625 15.940202412387, 95.5865478515625 15.9454842884045))",6841,11911,23,1,1,2020,4
1221332000102130,"POLYGON((39.583740234375 24.4771500111487, 39.5892333984375 24.4771500111487, 39.5892333984375 24.4721504372269, 39.583740234375 24.4721504372269, 39.583740234375 24.4771500111487))",70280,22106,40,132,25,2020,2
1322122113210030,"POLYGON((103.809814453125 13.4003070504946, 103.815307617188 13.4003070504946, 103.815307617188 13.3949633804641, 103.809814453125 13.3949633804641, 103.809814453125 13.4003070504946))",14200,6425,57,9,2,2020,2
1230000221201212,"POLYGON((45.406494140625 39.2109752059953, 45.4119873046875 39.2109752059953, 45.4119873046875 39.2067188449185, 45.406494140625 39.2067188449185, 45.406494140625 39.2109752059953))",26011,4886,24,20,9,2020,3
1321230202322022,"POLYGON((118.30078125 25.1900297553627, 118.306274414062 25.1900297553627, 118.306274414062 25.1850588835807, 118.30078125 25.1850588835807, 118.30078125 25.1900297553627))",4537,3372,77,1,1,2020,3
1202031013021103,"POLYGON((9.5635986328125 52.2109727680754, 9.569091796875 52.2109727680754, 9.569091796875 52.2076066728652, 9.5635986328125 52.2076066728652, 9.5635986328125 52.2109727680754))",49864,5827,42,1,1,2020,1
1323211102132133,"POLYGON((122.645874023438 10.6875985219922, 122.6513671875 10.6875985219922, 122.6513671875 10.6822006000841, 122.645874023438 10.6822006000841, 122.645874023438 10.6875985219922))",1032,14532,36,4,1,2020,1
0212330302232123,"POLYGON((-116.603393554688 43.6002840235363, -116.597900390625 43.6002840235363, -116.597900390625 43.5963059159655, -116.603393554688 43.5963059159655, -116.603393554688 43.6002840235363))",6736,6358,35,3,2,2020,3
2110032031221321,"POLYGON((-38.2489013671875 -9.39487124523299, -38.243408203125 -9.39487124523299, -38.243408203125 -9.40029068584812, -38.2489013671875 -9.40029068584812, -38.2489013671875 -9.39487124523299))",63604,27680,107,4,2,2020,3
1203201233013212,"POLYGON((26.510009765625 47.2307596483469, 26.5155029296875 47.2307596483469, 26.5155029296875 47.2270293988673, 26.510009765625 47.2270293988673, 26.510009765625 47.2307596483469))",16672,4758,29,1,1,2020,2
1213232102301230,"POLYGON((74.761962890625 42.6582017845567, 74.7674560546875 42.6582017845567, 74.7674560546875 42.6541619303399, 74.761962890625 42.6541619303399, 74.761962890625 42.6582017845567))",12429,10652,18,1,1,2020,1
3100130132202033,"POLYGON((109.000854492188 -6.89916069002835, 109.00634765625 -6.89916069002835, 109.00634765625 -6.90461404723808, 109.000854492188 -6.90461404723808, 109.000854492188 -6.89916069002835))",21726,8528,51,1,1,2020,4
1220101001232003,"POLYGON((14.5074462890625 40.7430952321818, 14.512939453125 40.7430952321818, 14.512939453125 40.738933241136, 14.5074462890625 40.738933241136, 14.5074462890625 40.7430952321818))",14197,5060,49,4,2,2020,2
0320210121132012,"POLYGON((-82.342529296875 31.236288641793, -82.3370361328125 31.236288641793, -82.3370361328125 31.2315916720506, -82.342529296875 31.2315916720506, -82.342529296875 31.236288641793))",2622,6,66,1,1,2020,3
1213232100230000,"POLYGON((74.619140625 42.8759641023825, 74.6246337890625 42.8759641023825, 74.6246337890625 42.8719384244485, 74.619140625 42.8719384244485, 74.619140625 42.8759641023825))",21211,15998,17,80,32,2020,4
0320011000201300,"POLYGON((-81.49658203125 40.8304368776492, -81.4910888671875 40.8304368776492, -81.4910888671875 40.8262803566771, -81.49658203125 40.8262803566771, -81.49658203125 40.8304368776492))",147659,26720,22,2,2,2020,4
1233102021133030,"POLYGON((79.420166015625 18.5108657090914, 79.4256591796875 18.5108657090914, 79.4256591796875 18.5056566630405, 79.420166015625 18.5056566630405, 79.420166015625 18.5108657090914))",31461,13390,29,6,2,2020,1
0331103313002301,"POLYGON((-5.9490966796875 37.3876174997839, -5.943603515625 37.3876174997839, -5.943603515625 37.383252801951, -5.9490966796875 37.383252801951, -5.9490966796875 37.3876174997839))",55712,25784,30,7,5,2020,1
1320312332010311,"POLYGON((109.110717773438 27.3522529380638, 109.1162109375 27.3522529380638, 109.1162109375 27.3473738100803, 109.110717773438 27.3473738100803, 109.110717773438 27.3522529380638))",44858,15242,34,1,1,2020,4
1322101121233012,"POLYGON((105.963134765625 20.9973427407118, 105.968627929688 20.9973427407118, 105.968627929688 20.9922142508861, 105.963134765625 20.9922142508861, 105.963134765625 20.9973427407118))",30128,21106,20,4,2,2020,2
1200031100023331,"POLYGON((9.9261474609375 64.0962074384899, 9.931640625 64.0962074384899, 9.931640625 64.0938075840421, 9.9261474609375 64.0938075840421, 9.9261474609375 64.0962074384899))",29774,14280,68,1,1,2020,2
1322101312030301,"POLYGON((106.287231445312 20.2003460064937, 106.292724609375 20.2003460064937, 106.292724609375 20.1951906364745, 106.287231445312 20.1951906364745, 106.287231445312 20.2003460064937))",37663,22510,18,9,5,2020,1
0233100210030033,"POLYGON((-100.442504882812 20.5350773269628, -100.43701171875 20.5350773269628, -100.43701171875 20.5299331251708, -100.442504882812 20.5299331251708, -100.442504882812 20.5350773269628))",39411,7692,46,24,4,2020,4
1322231202321100,"POLYGON((98.67919921875 3.60114232015873, 98.6846923828125 3.60114232015873, 98.6846923828125 3.59565998597995, 98.67919921875 3.59565998597995, 98.67919921875 3.60114232015873))",24040,10894,40,66,30,2020,3
1322130001100310,"POLYGON((107.435302734375 16.6151377999871, 107.440795898438 16.6151377999871, 107.440795898438 16.6098739195242, 107.435302734375 16.6098739195242, 107.435302734375 16.6151377999871))",34680,2358,27,1,1,2020,4
1202313202200003,"POLYGON((19.6929931640625 45.7023430679827, 19.698486328125 45.7023430679827, 19.698486328125 45.6985065873885, 19.6929931640625 45.6985065873885, 19.6929931640625 45.7023430679827))",37288,10332,25,5,1,2020,2
1233012233212012,"POLYGON((74.278564453125 16.7572078932581, 74.2840576171875 16.7572078932581, 74.2840576171875 16.7519479231803, 74.278564453125 16.7519479231803, 74.278564453125 16.7572078932581))",11474,9899,40,3,2,2020,2
1221010103111231,"POLYGON((30.2069091796875 40.6889690376243, 30.21240234375 40.6889690376243, 30.21240234375 40.6848036615913, 30.2069091796875 40.6848036615913, 30.2069091796875 40.6889690376243))",16048,11909,59,7,4,2020,2
0302303322302311,"POLYGON((-74.3170166015625 45.166547157856, -74.3115234375 45.166547157856, -74.3115234375 45.1626740797646, -74.3170166015625 45.1626740797646, -74.3170166015625 45.166547157856))",9688,1328,20,1,1,2020,4
1320302110230311,"POLYGON((103.485717773438 29.2863988929348, 103.4912109375 29.2863988929348, 103.4912109375 29.2816077229884, 103.485717773438 29.2816077229884, 103.485717773438 29.2863988929348))",31208,13423,27,3,1,2020,4
3100103213330120,"POLYGON((105.40283203125 -4.83920700122575, 105.408325195312 -4.83920700122575, 105.408325195312 -4.84468056202536, 105.40283203125 -4.84468056202536, 105.40283203125 -4.83920700122575))",15735,7333,58,1,1,2020,1
1322033113303130,"POLYGON((101.151123046875 13.3575543694957, 101.156616210938 13.3575543694957, 101.156616210938 13.3522097512044, 101.151123046875 13.3522097512044, 101.151123046875 13.3575543694957))",4794,8305,25,8,4,2020,2
0212300320021222,"POLYGON((-122.2998046875 47.4318033386433, -122.294311523438 47.4318033386433, -122.294311523438 47.4280872617143, -122.2998046875 47.4280872617143, -122.2998046875 47.4318033386433))",80488,10906,42,16,12,2020,3
1233011322310130,"POLYGON((77.640380859375 19.4665922322076, 77.6458740234375 19.4665922322076, 77.6458740234375 19.4614129968329, 77.640380859375 19.4614129968329, 77.640380859375 19.4665922322076))",7384,3114,48,1,1,2020,2
1221001100032123,"POLYGON((26.8341064453125 40.8678338413849, 26.839599609375 40.8678338413849, 26.839599609375 40.8636796654817, 26.8341064453125 40.8636796654817, 26.8341064453125 40.8678338413849))",137316,46493,20,1,1,2020,1
1230322121333322,"POLYGON((58.33740234375 23.569022144055, 58.3428955078125 23.569022144055, 58.3428955078125 23.5639871284512, 58.33740234375 23.5639871284512, 58.33740234375 23.569022144055))",39089,12907,19,1,1,2020,3
0320213032010330,"POLYGON((-80.738525390625 28.5845217193704, -80.7330322265625 28.5845217193704, -80.7330322265625 28.5796979940293, -80.738525390625 28.5796979940293, -80.738525390625 28.5845217193704))",7456,2411,39,4,2,2020,2
3101020323230023,"POLYGON((114.351196289062 -8.33651799225885, 114.356689453125 -8.33651799225885, 114.356689453125 -8.34195307546681, 114.351196289062 -8.34195307546681, 114.351196289062 -8.33651799225885))",5471,3901,153,1,1,2020,1
3101023000033120,"POLYGON((115.46630859375 -8.54842978188192, 115.471801757812 -8.54842978188192, 115.471801757812 -8.55386188132306, 115.46630859375 -8.55386188132306, 115.46630859375 -8.54842978188192))",65,820,78,2,2,2020,1
0231310011200122,"POLYGON((-94.54833984375 31.7888861637885, -94.5428466796875 31.7888861637885, -94.5428466796875 31.7842168844874, -94.54833984375 31.7842168844874, -94.54833984375 31.7888861637885))",177642,16750,40,1,1,2020,3
1202302113232101,"POLYGON((13.8262939453125 46.5890690830918, 13.831787109375 46.5890690830918, 13.831787109375 46.585293905836, 13.8262939453125 46.585293905836, 13.8262939453125 46.5890690830918))",41633,10824,41,4,4,2020,3
1233122023023023,"POLYGON((79.1510009765625 12.7528739862054, 79.156494140625 12.7528739862054, 79.156494140625 12.7475162749527, 79.1510009765625 12.7475162749527, 79.1510009765625 12.7528739862054))",34745,5791,58,1,1,2020,2
1203221333211010,"POLYGON((27.916259765625 43.1971672825013, 27.9217529296875 43.1971672825013, 27.9217529296875 43.1931626209261, 27.916259765625 43.1931626209261, 27.916259765625 43.1971672825013))",201055,46034,28,3,3,2020,4
1220111311320210,"POLYGON((22.335205078125 39.690280594818, 22.3406982421875 39.690280594818, 22.3406982421875 39.6860534322599, 22.335205078125 39.6860534322599, 22.335205078125 39.690280594818))",5024,405,31,1,1,2020,1
1233011123001123,"POLYGON((77.7667236328125 20.9460499201005, 77.772216796875 20.9460499201005, 77.772216796875 20.9409196703946, 77.7667236328125 20.9409196703946, 77.7667236328125 20.9460499201005))",10193,6263,64,32,10,2020,2
1212011313020131,"POLYGON((55.9368896484375 54.7182750183023, 55.9423828125 54.7182750183023, 55.9423828125 54.7151020575183, 55.9368896484375 54.7151020575183, 55.9368896484375 54.7182750183023))",50538,24717,46,3,3,2020,1
1231212121231031,"POLYGON((75.0311279296875 28.680949728555, 75.03662109375 28.680949728555, 75.03662109375 28.6761304330782, 75.0311279296875 28.6761304330782, 75.0311279296875 28.680949728555))",2879,833,42,1,1,2020,3
1322031330222333,"POLYGON((100.585327148438 14.2697068294713, 100.5908203125 14.2697068294713, 100.5908203125 14.2643830875626, 100.585327148438 14.2643830875626, 100.585327148438 14.2697068294713))",46144,22961,21,2,2,2020,4
1322100332100120,"POLYGON((103.55712890625 19.6322401904838, 103.562622070312 19.6322401904838, 103.562622070312 19.6270662687126, 103.55712890625 19.6270662687126, 103.55712890625 19.6322401904838))",30563,10493,34,6,4,2020,4
1220103210213202,"POLYGON((14.8974609375 37.5227970552596, 14.9029541015625 37.5227970552596, 14.9029541015625 37.5184402388786, 14.8974609375 37.5184402388786, 14.8974609375 37.5227970552596))",1229,156,106,1,1,2020,1
1233030112033002,"POLYGON((75.3662109375 16.1671969515124, 75.3717041015625 16.1671969515124, 75.3717041015625 16.1619209537853, 75.3662109375 16.1619209537853, 75.3662109375 16.1671969515124))",15171,4711,51,43,4,2020,2
0231000001130212,"POLYGON((-111.873779296875 40.892753424207, -111.868286132812 40.892753424207, -111.868286132812 40.8886008119303, -111.873779296875 40.8886008119303, -111.873779296875 40.892753424207))",45126,9270,21,12,1,2020,2
1202312223203220,"POLYGON((17.2705078125 45.1588007383521, 17.2760009765625 45.1588007383521, 17.2760009765625 45.1549271336185, 17.2705078125 45.1549271336185, 17.2705078125 45.1588007383521))",12232,11697,15,4,1,2020,4
1233033312012301,"POLYGON((78.1622314453125 12.1467458145397, 78.167724609375 12.1467458145397, 78.167724609375 12.1413755778775, 78.1622314453125 12.1413755778775, 78.1622314453125 12.1467458145397))",7544,2433,52,38,11,2020,4
1320313220132103,"POLYGON((109.978637695312 27.5618517833885, 109.984130859375 27.5618517833885, 109.984130859375 27.5569819203383, 109.978637695312 27.5569819203383, 109.978637695312 27.5618517833885))",39110,12382,28,4,3,2020,1
0231022032303302,"POLYGON((-111.55517578125 33.224903086264, -111.549682617188 33.224903086264, -111.549682617188 33.2203077896854, -111.55517578125 33.2203077896854, -111.55517578125 33.224903086264))",25975,16850,19,1,1,2020,1
1202320033223203,"POLYGON((12.3541259765625 44.0994206852865, 12.359619140625 44.0994206852865, 12.359619140625 44.0954757294664, 12.3541259765625 44.0954757294664, 12.3541259765625 44.0994206852865))",38809,8867,35,6,4,2020,3
1212101331213101,"POLYGON((61.6827392578125 54.4444917633576, 61.688232421875 54.4444917633576, 61.688232421875 54.4412974111259, 61.6827392578125 54.4412974111259, 61.6827392578125 54.4444917633576))",21766,25096,34,1,1,2020,4
0302323231332330,"POLYGON((-74.586181640625 41.2530324406532, -74.5806884765625 41.2530324406532, -74.5806884765625 41.2489025224032, -74.586181640625 41.2489025224032, -74.586181640625 41.2530324406532))",64368,4576,29,1,1,2020,2
2103111023320212,"POLYGON((-47.274169921875 -23.1858131753029, -47.2686767578125 -23.1858131753029, -47.2686767578125 -23.1908625768736, -47.274169921875 -23.1908625768736, -47.274169921875 -23.1858131753029))",11907,6806,29,4,3,2020,3
1231333202211212,"POLYGON((87.330322265625 22.7305904254938, 87.3358154296875 22.7305904254938, 87.3358154296875 22.7255238110894, 87.330322265625 22.7255238110894, 87.330322265625 22.7305904254938))",353,1753,42,1,1,2020,2
1231321200300322,"POLYGON((81.76025390625 25.606855993715, 81.7657470703125 25.606855993715, 81.7657470703125 25.6019022611157, 81.76025390625 25.6019022611157, 81.76025390625 25.606855993715))",10897,271,73,2,2,2020,3
2112000103321133,"POLYGON((-42.9840087890625 -22.5277797986946, -42.978515625 -22.5277797986946, -42.978515625 -22.5328537075271, -42.9840087890625 -22.5328537075271, -42.9840087890625 -22.5277797986946))",25465,11477,28,7,6,2020,3
0231321032332130,"POLYGON((-97.437744140625 25.8295610860535, -97.4322509765625 25.8295610860535, -97.4322509765625 25.8246166182321, -97.437744140625 25.8246166182321, -97.437744140625 25.8295610860535))",19237,19789,38,13,4,2020,1
0302303312220303,"POLYGON((-73.8006591796875 45.625563438216, -73.795166015625 45.625563438216, -73.795166015625 45.6217216925245, -73.8006591796875 45.6217216925245, -73.8006591796875 45.625563438216))",26912,4964,23,2,2,2020,2
1322101120320120,"POLYGON((105.66650390625 21.0332372344673, 105.671997070312 21.0332372344673, 105.671997070312 21.0281099786428, 105.66650390625 21.0281099786428, 105.66650390625 21.0332372344673))",41782,21227,19,5,1,2020,4
1322123220201102,"POLYGON((104.12841796875 11.6898935573257, 104.133911132812 11.6898935573257, 104.133911132812 11.6845142771282, 104.12841796875 11.6845142771282, 104.12841796875 11.6898935573257))",2710,8506,30,5,3,2020,1
0212320223200111,"POLYGON((-123.359985351562 43.1971672825013, -123.3544921875 43.1971672825013, -123.3544921875 43.1931626209261, -123.359985351562 43.1931626209261, -123.359985351562 43.1971672825013))",2815,136,32,1,1,2020,1
1202021120303230,"POLYGON((4.449462890625 51.8968338830125, 4.4549560546875 51.8968338830125, 4.4549560546875 51.893444036984, 4.449462890625 51.893444036984, 4.449462890625 51.8968338830125))",30214,4713,22,1,1,2020,4
0313311312302332,"POLYGON((-0.494384765625 47.5802312978927, -0.4888916015625 47.5802312978927, -0.4888916015625 47.5765257137462, -0.494384765625 47.5765257137462, -0.494384765625 47.5802312978927))",18326,4469,40,1,1,2020,2
1321203030221311,"POLYGON((116.098022460938 28.6713109158808, 116.103515625 28.6713109158808, 116.103515625 28.6664911769866, 116.098022460938 28.6664911769866, 116.098022460938 28.6713109158808))",40140,18368,32,9,2,2020,3
